Filenames,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25
60001.jpg,0,0,0,0,0,0,0,0
60002.jpg,0,0,0,0,0,0,0,0
60003.jpg,0,0,0,0,0,0,0,0
60004.jpg,0,0,0,0,0,0,0,0
60005.jpg,0,0,0,0,0,0,0,0
60006.jpg,0,0,0,0,0,0,0,0
60007.jpg,0,0,0,0,0,0,0,0
60008.jpg,0,0,0,0,0,0,0,0
60009.jpg,0,0,0,0,0,0,0,0
60010.jpg,0,0,0,0,0,0,0,0
60011.jpg,0,0,0,0,0,0,0,0
60012.jpg,0,0,0,0,0,0,0,0
60013.jpg,0,0,0,0,0,0,0,0
60014.jpg,0,0,0,0,0,0,0,0
60015.jpg,0,0,0,0,0,0,0,0
60016.jpg,0,0,0,0,0,0,0,0
60017.jpg,0,0,0,0,0,0,0,0
60018.jpg,0,0,0,0,0,0,0,0
60019.jpg,0,0,0,0,0,0,0,0
60020.jpg,0,0,0,0,0,0,0,0
60021.jpg,0,0,0,0,0,0,0,0
60022.jpg,0,0,0,0,0,0,0,0
60023.jpg,0,0,0,0,0,0,0,0
60024.jpg,0,0,0,0,0,0,0,0
60025.jpg,0,0,0,0,0,0,0,0
60026.jpg,0,0,0,0,0,0,0,0
60027.jpg,0,0,0,0,0,0,0,0
60028.jpg,0,0,0,0,0,0,0,0
60029.jpg,0,0,0,0,0,0,0,0
60030.jpg,0,0,0,0,0,0,0,0
60031.jpg,0,0,0,0,0,0,0,0
60032.jpg,0,0,0,0,0,0,0,0
60033.jpg,0,0,0,0,0,0,0,0
60034.jpg,0,0,0,0,0,0,0,0
60035.jpg,0,0,0,0,0,0,0,0
60036.jpg,0,0,0,0,0,0,0,0
60037.jpg,0,0,0,0,0,0,0,0
60038.jpg,0,0,0,0,0,0,0,0
60039.jpg,0,0,0,0,0,0,0,0
60040.jpg,0,0,0,0,0,0,0,0
60041.jpg,0,0,0,0,0,0,0,0
60042.jpg,0,0,0,0,0,0,0,0
60043.jpg,0,0,0,0,0,0,0,0
60044.jpg,0,0,0,0,0,0,0,0
60045.jpg,0,0,0,0,0,0,0,0
60046.jpg,0,0,0,0,0,0,0,0
60047.jpg,0,0,0,0,0,0,0,0
60048.jpg,0,0,0,0,0,0,0,0
60049.jpg,0,0,0,0,0,0,0,0
60050.jpg,0,0,0,0,0,0,0,0
60051.jpg,0,0,0,0,0,0,0,0
60052.jpg,0,0,0,0,0,0,0,0
60053.jpg,0,0,0,0,0,0,0,0
60054.jpg,0,0,0,0,0,0,0,0
60055.jpg,0,0,0,0,0,0,0,0
60056.jpg,0,0,0,0,0,0,0,0
60057.jpg,0,0,0,0,0,0,0,0
60058.jpg,0,0,0,0,0,0,0,0
60059.jpg,0,0,0,0,0,0,0,0
60060.jpg,0,0,0,0,0,0,0,0
60061.jpg,0,0,0,0,0,0,0,0
60062.jpg,0,0,0,0,0,0,0,0
60063.jpg,0,0,0,0,0,0,0,0
60064.jpg,0,0,0,0,0,0,0,0
60065.jpg,0,0,0,0,0,0,0,0
60066.jpg,1,0,0,0,0,0,0,0
60067.jpg,0,0,0,0,0,0,0,0
60068.jpg,0,0,0,0,0,0,0,0
60069.jpg,0,0,0,0,0,0,0,0
60070.jpg,0,0,0,0,0,0,0,0
60071.jpg,0,0,0,0,0,0,0,0
60072.jpg,0,0,0,0,0,0,0,0
60073.jpg,0,0,0,0,0,0,0,0
60074.jpg,0,0,0,0,0,0,0,0
60075.jpg,0,0,0,0,0,0,0,0
60076.jpg,0,0,0,0,0,0,0,0
60077.jpg,0,0,0,0,0,0,0,0
60078.jpg,0,0,0,0,0,0,0,0
60079.jpg,0,0,0,0,0,0,0,0
60080.jpg,0,0,0,0,0,0,0,0
60081.jpg,1,0,0,0,0,0,0,0
60082.jpg,0,0,0,0,0,0,0,0
60083.jpg,0,0,0,0,0,0,0,0
60084.jpg,0,0,0,0,0,0,0,0
60085.jpg,0,0,0,0,0,0,0,0
60086.jpg,0,0,0,0,0,0,0,0
60087.jpg,0,0,0,0,0,0,0,0
60088.jpg,0,0,0,0,0,0,0,0
60089.jpg,1,0,0,0,0,0,0,0
60090.jpg,0,0,0,0,0,0,0,0
60091.jpg,0,0,0,0,0,0,0,0
60092.jpg,0,0,0,0,0,0,0,0
60093.jpg,0,0,0,0,0,0,0,0
60094.jpg,0,0,0,0,0,0,0,0
60095.jpg,0,0,0,0,0,0,0,0
60096.jpg,0,0,0,0,0,0,0,0
60097.jpg,0,0,0,0,0,0,0,0
60098.jpg,0,0,0,0,0,0,0,0
60099.jpg,0,0,0,0,0,0,0,0
60100.jpg,0,0,0,0,0,0,0,0
60101.jpg,0,0,0,0,0,0,0,0
60102.jpg,0,0,0,0,0,0,0,0
60103.jpg,0,0,0,0,0,0,0,0
60104.jpg,0,0,0,0,0,0,0,0
60105.jpg,0,0,0,0,0,0,0,0
60106.jpg,0,0,0,0,0,0,0,0
60107.jpg,0,0,0,0,0,0,0,0
60108.jpg,0,0,0,0,0,0,0,0
60109.jpg,0,0,0,0,0,0,0,0
60110.jpg,0,0,0,0,0,0,0,0
60111.jpg,0,0,0,0,0,0,0,0
60112.jpg,0,0,0,0,0,0,0,0
60113.jpg,0,0,0,0,0,0,0,0
60114.jpg,0,0,0,0,0,0,0,0
60115.jpg,0,0,0,0,0,0,0,0
60116.jpg,0,0,0,0,0,0,0,0
60117.jpg,0,0,0,0,0,0,0,0
60118.jpg,0,0,0,0,0,0,0,0
60119.jpg,0,0,0,0,0,0,0,0
60120.jpg,0,0,0,0,0,0,0,0
60121.jpg,0,0,0,0,0,0,0,0
60122.jpg,0,0,0,0,0,0,0,0
60123.jpg,0,0,0,0,0,0,0,0
60124.jpg,0,0,0,0,0,0,0,0
60125.jpg,0,0,0,0,0,0,0,0
60126.jpg,0,0,0,0,0,0,0,0
60127.jpg,0,0,0,0,0,0,0,0
60128.jpg,0,0,0,0,0,0,0,0
60129.jpg,0,0,0,0,0,0,0,0
60130.jpg,0,0,0,0,0,0,0,0
60131.jpg,0,0,0,0,0,0,0,0
60132.jpg,0,0,0,0,0,0,0,0
60133.jpg,0,0,0,0,0,0,0,0
60134.jpg,0,0,0,0,0,0,0,0
60135.jpg,0,0,0,0,0,0,0,0
60136.jpg,0,0,0,0,0,0,0,0
60137.jpg,0,0,0,0,0,0,0,0
60138.jpg,0,0,0,0,0,0,0,0
60139.jpg,0,0,0,0,0,0,0,0
60140.jpg,0,0,0,0,0,0,0,0
60141.jpg,0,0,0,0,0,0,0,0
60142.jpg,0,0,0,0,0,0,0,0
60143.jpg,0,0,0,0,0,0,0,0
60144.jpg,0,0,0,0,0,0,0,0
60145.jpg,0,0,0,0,0,0,0,0
60146.jpg,0,0,0,0,0,0,0,0
60147.jpg,0,0,0,0,0,0,0,0
60148.jpg,0,0,0,0,0,0,0,0
60149.jpg,0,0,0,0,0,0,0,0
60150.jpg,0,0,0,0,0,0,0,0
60151.jpg,0,0,0,0,0,0,0,0
60152.jpg,0,0,0,0,0,0,0,0
60153.jpg,0,0,0,0,0,0,0,0
60154.jpg,0,0,0,0,0,0,0,0
60155.jpg,0,0,0,0,0,0,0,0
60156.jpg,0,0,0,0,0,0,0,0
60157.jpg,0,0,0,0,0,0,0,0
60158.jpg,0,0,0,0,0,0,0,0
60159.jpg,0,0,0,0,0,0,0,0
60160.jpg,0,0,0,0,0,0,0,0
60161.jpg,0,0,0,0,0,0,0,0
60162.jpg,0,0,0,0,0,0,0,0
60163.jpg,0,0,0,0,0,0,0,0
60164.jpg,0,0,0,0,0,0,0,0
60165.jpg,0,0,0,0,0,0,0,0
60166.jpg,0,0,0,0,0,0,0,0
60167.jpg,0,0,0,0,0,0,0,0
60168.jpg,0,0,0,0,0,0,0,0
60169.jpg,0,0,0,0,0,0,0,0
60170.jpg,0,0,0,0,0,0,0,0
60171.jpg,0,0,0,0,0,0,0,0
60172.jpg,0,0,0,0,0,0,0,0
60173.jpg,0,0,0,0,0,0,0,0
60174.jpg,0,0,0,0,0,0,0,0
60175.jpg,0,0,0,0,0,0,0,0
60176.jpg,0,0,0,0,0,0,0,0
60177.jpg,0,0,0,0,0,0,0,0
60178.jpg,0,0,0,0,0,0,0,0
60179.jpg,0,0,0,0,0,0,0,0
60180.jpg,0,0,0,0,0,0,0,0
60181.jpg,0,0,0,0,0,0,0,0
60182.jpg,0,0,0,0,0,0,0,0
60183.jpg,0,0,0,0,0,0,0,0
60184.jpg,0,0,0,0,0,0,0,0
60185.jpg,0,0,0,0,0,0,0,0
60186.jpg,0,0,0,0,0,0,0,0
60187.jpg,0,0,0,0,0,0,0,0
60188.jpg,0,0,0,0,0,0,0,0
60189.jpg,0,0,0,0,0,0,0,0
60190.jpg,0,0,0,0,0,0,0,0
60191.jpg,0,0,0,0,0,0,0,0
60192.jpg,0,0,0,0,0,0,0,0
60193.jpg,0,0,0,0,0,0,0,0
60194.jpg,0,0,0,0,0,0,0,0
60195.jpg,0,0,0,0,0,0,0,0
60196.jpg,0,0,0,0,0,0,0,0
60197.jpg,0,0,0,0,0,0,0,0
60198.jpg,0,0,0,0,0,0,0,0
60199.jpg,0,0,0,0,0,0,0,0
60200.jpg,0,0,0,0,0,0,0,0
60201.jpg,0,0,0,0,0,0,0,0
60202.jpg,0,0,0,0,0,0,0,0
60203.jpg,0,0,0,0,0,0,0,0
60204.jpg,0,0,0,0,0,0,0,0
60205.jpg,0,0,0,0,0,0,0,0
60206.jpg,0,0,0,0,0,0,0,0
60207.jpg,0,0,0,0,0,0,0,0
60208.jpg,0,0,0,0,0,0,0,0
60209.jpg,0,0,0,0,0,0,0,0
60210.jpg,0,0,0,0,0,0,0,0
60211.jpg,0,0,0,0,0,0,0,0
60212.jpg,0,0,0,0,0,0,0,0
60213.jpg,0,0,0,0,0,0,0,0
60214.jpg,0,0,0,0,0,0,0,0
60215.jpg,0,0,0,0,0,0,0,0
60216.jpg,0,0,0,0,0,0,0,0
60217.jpg,0,0,0,0,0,0,0,0
60218.jpg,0,0,0,0,0,0,0,0
60219.jpg,0,0,0,0,0,0,0,0
60220.jpg,0,0,0,0,0,0,0,0
60221.jpg,0,0,0,0,0,0,0,0
60222.jpg,0,0,1,0,0,0,0,0
60223.jpg,0,0,1,0,0,0,0,0
60224.jpg,0,0,1,0,0,0,0,0
60225.jpg,0,0,1,0,0,0,0,0
60226.jpg,0,0,1,0,0,0,0,0
60227.jpg,0,0,1,0,0,0,0,0
60228.jpg,0,0,1,0,0,0,0,0
60229.jpg,0,0,1,0,0,0,0,0
60230.jpg,0,0,1,0,0,0,0,0
60231.jpg,0,0,1,0,0,0,0,0
60232.jpg,0,0,0,0,0,0,0,0
60233.jpg,0,0,0,0,0,0,0,0
60234.jpg,0,0,1,0,0,0,0,0
60235.jpg,0,0,0,0,0,0,0,0
60236.jpg,0,0,1,0,0,0,0,0
60237.jpg,0,0,1,0,0,0,0,0
60238.jpg,0,0,0,0,0,0,0,0
60239.jpg,0,0,0,0,0,0,0,0
60240.jpg,0,0,0,0,0,0,0,0
60241.jpg,0,0,1,0,0,0,0,0
60242.jpg,0,0,0,0,0,0,0,0
60243.jpg,0,0,0,0,0,0,0,0
60244.jpg,0,0,0,0,0,0,0,0
60245.jpg,0,0,0,0,0,0,0,0
60246.jpg,0,0,0,0,0,0,0,0
60247.jpg,0,0,0,0,0,0,0,0
60248.jpg,0,0,0,0,0,0,0,0
60249.jpg,0,0,0,0,0,0,0,0
60250.jpg,0,0,1,0,0,0,0,0
60251.jpg,0,0,1,0,0,0,0,0
60252.jpg,0,0,0,0,0,0,0,0
60253.jpg,0,0,0,0,0,0,0,0
60254.jpg,0,0,1,0,0,0,0,0
60255.jpg,0,0,0,0,0,0,0,0
60256.jpg,0,0,0,0,0,0,0,0
60257.jpg,0,0,0,0,0,0,0,0
60258.jpg,0,0,0,0,0,0,0,0
60259.jpg,0,0,0,0,0,0,0,0
60260.jpg,0,0,1,0,0,0,0,0
60261.jpg,0,0,1,0,0,0,0,0
60262.jpg,0,0,0,0,0,0,0,0
60263.jpg,0,0,0,0,0,0,0,0
60264.jpg,0,0,0,0,0,0,0,0
60265.jpg,0,0,0,0,0,0,0,0
60266.jpg,0,0,0,0,0,0,0,0
60267.jpg,0,0,0,0,0,0,0,0
60268.jpg,0,0,0,0,0,0,0,0
60269.jpg,0,0,0,0,0,0,0,0
60270.jpg,0,0,0,0,0,0,0,0
60271.jpg,0,0,0,0,0,0,0,0
60272.jpg,0,0,0,0,0,0,0,0
60273.jpg,0,0,0,0,0,0,0,0
60274.jpg,0,0,0,0,0,0,0,0
60275.jpg,0,0,0,0,0,0,0,0
60276.jpg,0,0,1,0,0,0,0,0
60277.jpg,0,0,0,0,0,0,0,0
60278.jpg,0,0,0,0,0,0,0,0
60279.jpg,0,0,0,0,0,0,0,0
60280.jpg,0,0,0,0,0,0,0,0
60281.jpg,0,0,0,0,0,0,0,0
60282.jpg,0,0,0,0,0,0,0,0
60283.jpg,0,0,1,0,0,0,0,0
60284.jpg,0,0,0,0,0,0,0,0
60285.jpg,0,0,0,0,0,0,0,0
60286.jpg,0,0,0,0,0,0,0,0
60287.jpg,0,0,0,0,0,0,0,0
60288.jpg,0,0,0,0,0,0,0,0
60289.jpg,0,0,0,0,0,0,0,0
60290.jpg,0,0,0,0,0,0,0,0
60291.jpg,0,0,0,0,0,0,0,0
60292.jpg,0,0,0,0,0,0,0,0
60293.jpg,0,0,0,0,0,0,0,0
60294.jpg,0,0,1,0,0,0,0,0
60295.jpg,0,0,1,0,0,0,0,0
60296.jpg,0,0,1,0,0,0,0,0
60297.jpg,0,0,1,0,0,0,0,0
60298.jpg,0,0,1,0,0,0,0,0
60299.jpg,0,0,1,0,0,0,0,0
60300.jpg,0,0,1,0,0,0,0,0
60301.jpg,0,0,1,0,0,0,0,0
60302.jpg,0,0,1,0,0,0,0,0
60303.jpg,0,0,1,0,0,0,0,0
60304.jpg,0,0,1,0,0,0,0,0
60305.jpg,0,0,1,0,0,0,0,0
60306.jpg,0,0,1,0,0,0,0,0
60307.jpg,0,0,1,0,0,0,0,0
60308.jpg,0,0,1,0,0,0,0,0
60309.jpg,0,0,1,0,0,0,0,0
60310.jpg,0,0,1,0,0,0,0,0
60311.jpg,0,0,1,0,0,0,0,0
60312.jpg,0,0,1,0,0,0,0,0
60313.jpg,0,0,1,0,0,0,0,0
60314.jpg,0,0,1,0,0,0,0,0
60315.jpg,0,0,0,0,0,0,0,0
60316.jpg,0,0,0,0,0,0,0,0
60317.jpg,0,0,0,0,0,0,0,0
60318.jpg,0,0,0,0,0,0,0,0
60319.jpg,0,0,0,0,0,0,0,0
60320.jpg,0,0,0,0,0,0,0,0
60321.jpg,0,0,0,0,0,0,0,0
60322.jpg,0,0,0,0,0,0,0,0
60323.jpg,0,0,0,0,0,0,0,0
